aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
3385,18,1997,"[78, 71, 78]",1.7313520328432483,2.0080088285997064,4,7,22,0.35294117647058826,0.48148714899906103
3387,17,1999,"[74, 74, 74]",1.6155533706398792,2.0794066601895254,7,4,24,0.4375,0.4738235282200526
3391,40,1993,"[78, 71, 71]",2.2260154951607825,1.369976100165193,56,12,96,0.3076923076923077,0.433991673211903
3393,2,1986,"[52, 52, 52]",0.8047189562170503,1.8249673279452374,20,19,22,1.0,0.9875772723260904
3397,33,1999,"[71, 71]",1.6778086392005525,1.8834899048981082,31,6,64,0.28125,0.5471063446544029
3418,11,1998,"[75, 72, 75]",1.7052123473636458,1.5824527914310025,19,7,30,0.4,0.48229453675267714
3422,33,2000,"[75, 72]",2.303003678428538,2.1366961031249443,6,4,39,0.3125,0.4857864582111624
3441,17,2004,"[73, 68, 79]",2.742440409656293,2.0126758453675744,2,1,19,0.375,0.5478442899644914
3454,6,1989,"[71, 73, 78]",1.9266857246287812,1.8574755409171682,11,15,17,0.4,0.5435106870234354
3465,10,2001,"[61, 68, 64, 64]",1.374628908892232,1.0691665297540138,4,3,14,0.5555555555555556,0.7939809422022529
3474,10,2005,"[75, 75, 78, 61]",1.434000237249408,1.791759469228055,1,0,11,0.2222222222222222,0.6561920040875512
3481,20,1996,"[73, 42, 78]",1.5488945658600326,1.9650197299125656,42,8,62,0.15789473684210525,0.5536317941740959
3489,9,1998,"[75, 73, 75, 81]",1.0841450047064496,1.3497507391111323,13,6,22,0.75,0.6218398978369588
3498,7,1991,"[36, 29, 32]",1.3620230701491196,2.3481654821925346,4,1,11,0.5,0.7985100069819602
3505,17,2005,"[62, 77, 71]",2.3182930772270316,1.0986122886681098,1,0,18,0.4375,0.715401535327713
3513,6,2000,"[73, 73]",1.3532827088262083,1.3701597308354978,4,2,10,0.4,0.281776276757845
3515,8,1995,"[61, 68, 68]",1.96262236570371,0.41415110829800006,6,9,14,0.5714285714285714,0.4501380868409058
3549,44,2004,[71],1.7764950973252545,1.6392322278565807,5,0,49,0.5813953488372093,0.6522256323276044
3551,25,2000,"[73, 73, 71]",1.969547104123306,0.8958797346140276,4,2,29,0.25,0.5567197644304949
3553,14,1992,"[73, 42, 71, 78]",1.5541678781113306,1.987327283437503,9,12,23,0.38461538461538464,0.6732782926474972
3563,18,2002,[73],1.9041212317499934,2.9482068375257615,4,1,22,0.5294117647058824,0.5081501255593862
3568,5,1997,"[61, 71, 71, 72]",1.294778139270455,1.4452169473214447,9,7,14,0.25,0.771258373603336
3577,16,2003,"[61, 61, 71]",1.0438249604972536,0.0,1,0,17,0.5333333333333333,0.6429483860079326
3585,9,1991,"[74, 61, 61]",1.4444330437603958,1.226531538026853,36,12,45,0.25,0.7175353550511141
3588,12,2002,"[5, 7, 47]",1.1761678224206367,1.104673562696589,6,3,18,0.36363636363636365,0.7183000497194971
3597,35,2002,"[75, 78]",2.4764188674615277,1.7917594692280554,2,1,37,0.17647058823529413,0.40368287596460917
