tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
2,3,Genre_39,0.0692,0.0647,0.2507,0.0179,0.5932,0.0045,1,ks.mean
2,3,Genre_40,0.005,0.0075,0.0866,0.0288,0.3389,0.0025,1,ks.mean
2,3,Genre_41,0.0057,0.0021,0.1041,0.0347,0.0397,0.0036,1,ks.mean
2,3,Genre_42,0.0088,0.0076,0.1192,0.0102,0.6671,0.0012,1,ks.mean
2,3,Genre_43,0.063,0.066,0.2569,0.0115,0.736,0.003,1,ks.mean
2,3,Genre_44,0.1285,0.1409,0.3317,0.0375,0.2339,0.0124,0.9957,ks.mean
2,3,Genre_45,0.0518,0.0582,0.221,0.0289,0.328,0.0064,1,ks.mean
2,3,Genre_46,0.0931,0.1057,0.2827,0.0444,0.1627,0.0126,0.995,ks.mean
2,3,Genre_47,0.0885,0.0887,0.2758,6e-04,0.9827,2e-04,1,ks.mean
2,3,Genre_48,0.1165,0.1199,0.3058,0.011,0.6827,0.0034,1,ks.mean
2,3,Genre_49,0.0239,0.021,0.1639,0.0181,0.4872,0.003,1,ks.mean
2,3,Genre_50,0.0077,0.0069,0.107,0.0073,0.7482,8e-04,1,ks.mean
2,3,Genre_51,0.0822,0.0827,0.2782,0.0021,0.9476,6e-04,1,ks.mean
2,3,Genre_52,0.0276,0.034,0.173,0.0374,0.23,0.0065,1,ks.mean
2,3,Genre_53,0.0116,0.0155,0.1426,0.027,0.3948,0.0039,1,ks.mean
2,3,Genre_54,0.0265,0.0212,0.1695,0.0314,0.366,0.0053,1,ks.mean
2,3,Genre_55,0.0013,0.0011,0.0696,0.0021,0.9106,1e-04,1,ks.mean
2,3,Genre_56,0.001,3e-04,0.0511,0.0124,0.2787,6e-04,1,ks.mean
2,3,Genre_57,0.0063,0.005,0.0882,0.0145,0.4716,0.0013,1,ks.mean
2,3,Genre_58,0.0098,0.0116,0.112,0.0165,0.5665,0.0018,1,ks.mean
2,3,Genre_59,0.0055,0.0038,0.0706,0.025,0.2734,0.0018,1,ks.mean
2,3,Genre_60,8e-04,0.0029,0.0403,0.0536,0.177,0.0022,1,ks.mean
2,3,Genre_61,3e-04,0,0.0325,0.0097,0.3173,3e-04,1,ks.mean
2,3,Genre_62,0,0,0.0084,0,NA,0,1,ks.mean
2,3,Genre_63,2e-04,0,0.0252,0.009,0.3173,2e-04,1,ks.mean
2,3,Genre_64,0.0098,0.0072,0.0975,0.0261,0.2976,0.0025,1,ks.mean
2,3,Genre_65,0.0014,0.0018,0.046,0.0096,0.5983,4e-04,1,ks.mean
2,3,Genre_66,0.0083,0.0067,0.0913,0.0174,0.4634,0.0016,1,ks.mean
2,3,Genre_67,0.0236,0.0219,0.1459,0.0115,0.6753,0.0017,1,ks.mean
2,3,Genre_68,2e-04,0,0.0119,0.0173,0.3173,2e-04,1,ks.mean
