tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
0,1,firstyear:2012,0,5e-04,0.0253,0.0188,NA,5e-04,NA,unw
0,1,Genre_0,9e-04,3e-04,0.0206,0.0293,0.5236,6e-04,1,unw
0,1,Genre_1,0.0442,0.0279,0.1557,0.105,0.0129,0.0164,0.9655,unw
0,1,Genre_2,0.0488,0.0605,0.2743,0.0426,0.1048,0.0117,0.9996,unw
0,1,Genre_3,0.0129,0.0081,0.175,0.0276,0.1813,0.0048,1,unw
0,1,Genre_4,0.129,0.116,0.3022,0.0432,0.2335,0.013,0.9975,unw
0,1,Genre_5,0.0037,0.004,0.0526,0.0052,0.8909,3e-04,1,unw
0,1,Genre_6,0.0184,0.013,0.096,0.0566,0.2086,0.0054,1,unw
0,1,Genre_7,0.0387,0.0303,0.2337,0.0361,0.1761,0.0084,1,unw
0,1,Genre_8,0.0378,0.0255,0.2316,0.053,0.0449,0.0123,0.999,unw
0,1,Genre_9,0.0313,0.0203,0.1833,0.0603,0.0476,0.0111,0.9999,unw
0,1,Genre_10,0.024,0.0162,0.1715,0.0455,0.1119,0.0078,1,unw
0,1,Genre_11,0.0203,0.0261,0.2345,0.025,0.2145,0.0059,1,unw
0,1,Genre_12,0,0,NA,NA,NA,0,1,unw
0,1,Genre_13,0.0055,0.0114,0.1791,0.0328,0.0248,0.0059,1,unw
0,1,Genre_14,0.0194,0.0176,0.1656,0.0107,0.6945,0.0018,1,unw
0,1,Genre_15,0.0415,0.0396,0.2541,0.0073,0.7757,0.0019,1,unw
0,1,Genre_16,9e-04,0.004,0.077,0.0395,0.0123,0.003,1,unw
0,1,Genre_17,0.0147,0.0182,0.2256,0.0154,0.3883,0.0035,1,unw
0,1,Genre_18,0,0.001,0.0253,0.0376,0.0143,0.001,1,unw
0,1,Genre_19,0.0415,0.0073,0.0985,0.3469,0,0.0342,0.2294,unw
0,1,Genre_20,0.0553,0.0338,0.1562,0.138,0.0032,0.0215,0.7832,unw
0,1,Genre_21,0.0664,0.046,0.2277,0.0896,0.0108,0.0204,0.8354,unw
0,1,Genre_22,0.0295,0.0269,0.1334,0.0192,0.6437,0.0026,1,unw
0,1,Genre_23,0.0424,0.0377,0.1844,0.0254,0.4759,0.0047,1,unw
0,1,Genre_24,0.0092,0.0054,0.0641,0.0598,0.2085,0.0038,1,unw
0,1,Genre_25,0.0203,0.0252,0.1224,0.0402,0.2967,0.0049,1,unw
0,1,Genre_26,9e-04,2e-04,0.0146,0.0523,0.4143,8e-04,1,unw
0,1,Genre_27,9e-04,0.0022,0.0421,0.0308,0.2365,0.0013,1,unw
0,1,Genre_28,0.0479,0.0141,0.1229,0.2751,0,0.0338,0.24,unw
0,1,Genre_29,0.1502,0.0751,0.2887,0.2602,0,0.0751,1e-04,unw
0,1,Genre_30,0.0055,0.0038,0.0469,0.0368,0.4683,0.0017,1,unw
0,1,Genre_31,0.0055,0.003,0.0476,0.0529,0.2847,0.0025,1,unw
0,1,Genre_32,0.0037,0.0049,0.0571,0.0215,0.548,0.0012,1,unw
0,1,Genre_33,0.0074,0.006,0.0607,0.0223,0.626,0.0014,1,unw
0,1,Genre_34,0.071,0.033,0.1509,0.2519,0,0.038,0.1378,unw
0,1,Genre_35,0.0083,0.0041,0.0589,0.0709,0.1457,0.0042,1,unw
0,1,Genre_36,0.1521,0.0299,0.1826,0.6688,0,0.1221,0,unw
0,1,Genre_37,0.1318,0.171,0.3073,0.1275,5e-04,0.0392,0.1166,unw
0,1,Genre_38,0.0092,0.0296,0.1292,0.158,0,0.0204,0.8351,unw
0,1,Genre_39,0.0323,0.0426,0.1606,0.0645,0.0808,0.0104,1,unw
0,1,Genre_40,0.0415,0.0892,0.2332,0.2047,0,0.0477,0.0294,unw
0,1,Genre_41,0.0065,0.0125,0.0904,0.0671,0.0306,0.0061,1,unw
0,1,Genre_42,0.0101,0.0193,0.1024,0.0898,0.0087,0.0092,1,unw
0,1,Genre_43,0.0267,0.0215,0.1207,0.0429,0.3219,0.0052,1,unw
0,1,Genre_44,0.0793,0.1111,0.2504,0.127,5e-04,0.0318,0.3059,unw
0,1,Genre_45,0.1032,0.1518,0.3338,0.1455,0,0.0486,0.0253,unw
0,1,Genre_46,0.0369,0.0648,0.2232,0.1252,0,0.0279,0.4651,unw
0,1,Genre_47,0.0756,0.1005,0.284,0.0876,0.0051,0.0249,0.6152,unw
0,1,Genre_48,0.0691,0.0778,0.2737,0.0317,0.3021,0.0087,1,unw
0,1,Genre_49,0.059,0.0921,0.3082,0.1073,0,0.0331,0.2632,unw
0,1,Genre_50,0.0276,0.033,0.164,0.0324,0.3311,0.0053,1,unw
0,1,Genre_51,0.012,0.0195,0.1127,0.0666,0.0444,0.0075,1,unw
0,1,Genre_52,0.0848,0.1155,0.2813,0.1092,0.001,0.0307,0.3466,unw
0,1,Genre_53,0.0267,0.0364,0.1684,0.0577,0.0739,0.0097,1,unw
0,1,Genre_54,0.0267,0.0377,0.1472,0.0746,0.044,0.011,0.9999,unw
0,1,Genre_55,0.0369,0.0445,0.1631,0.0469,0.2229,0.0077,1,unw
0,1,Genre_56,0.0046,0.0068,0.063,0.035,0.3382,0.0022,1,unw
0,1,Genre_57,0.0028,0.0043,0.0484,0.0313,0.3988,0.0015,1,unw
0,1,Genre_58,0.0092,0.0114,0.1027,0.0213,0.4926,0.0022,1,unw
0,1,Genre_59,0.0175,0.0163,0.1111,0.0107,0.7813,0.0012,1,unw
0,1,Genre_60,0.0055,0.0022,0.0752,0.044,0.1549,0.0033,1,unw
0,1,Genre_61,9e-04,0.0024,0.0377,0.0386,0.1886,0.0015,1,unw
0,1,Genre_62,9e-04,0.0019,0.0315,0.0311,0.3608,0.001,1,unw
0,1,Genre_63,0,2e-04,0.0084,0.0188,0.3173,2e-04,1,unw
0,1,Genre_64,0.0046,3e-04,0.0253,0.1697,0.038,0.0043,1,unw
0,1,Genre_65,0.0074,0.0055,0.0992,0.0184,0.508,0.0018,1,unw
0,1,Genre_66,0.0037,0.0019,0.0429,0.0416,0.3525,0.0018,1,unw
0,1,Genre_67,0.0028,0.0054,0.0881,0.0298,0.1544,0.0026,1,unw
0,1,Genre_68,0.0074,0.0076,0.1477,0.0016,0.9343,2e-04,1,unw
0,1,Genre_69,9e-04,2e-04,0.0119,0.064,0.4143,8e-04,1,unw
0,2,pre_citCount,1.6245,1.8563,0.5503,0.4214,0,0.1712,0,unw
0,2,firstyear:1980,0.0074,0.002,0.0469,0.1142,0,0.0054,0,unw
0,2,firstyear:1981,0.0046,0.0027,0.0512,0.0375,NA,0.0019,NA,unw
0,2,firstyear:1982,0.012,0.0011,0.0589,0.1844,NA,0.0109,NA,unw
0,2,firstyear:1983,0.0055,0.0011,0.0546,0.0808,NA,0.0044,NA,unw
0,2,firstyear:1984,0.0166,0.0038,0.0865,0.1478,NA,0.0128,NA,unw
0,2,firstyear:1985,0.0498,0.0186,0.1644,0.1896,NA,0.0312,NA,unw
0,2,firstyear:1986,0.0369,0.0204,0.1629,0.1011,NA,0.0165,NA,unw
0,2,firstyear:1987,0.0341,0.0202,0.1735,0.0803,NA,0.0139,NA,unw
0,2,firstyear:1988,0.0452,0.026,0.1738,0.1102,NA,0.0192,NA,unw
0,2,firstyear:1989,0.0544,0.0314,0.1916,0.1201,NA,0.023,NA,unw
0,2,firstyear:1990,0.0488,0.0271,0.1918,0.1133,NA,0.0217,NA,unw
0,2,firstyear:1991,0.0507,0.0345,0.1956,0.0827,NA,0.0162,NA,unw
0,2,firstyear:1992,0.0562,0.0475,0.2216,0.0393,NA,0.0087,NA,unw
0,2,firstyear:1993,0.0525,0.058,0.2299,0.024,NA,0.0055,NA,unw
0,2,firstyear:1994,0.0654,0.05,0.2246,0.0688,NA,0.0155,NA,unw
0,2,firstyear:1995,0.0636,0.0576,0.2255,0.0266,NA,0.006,NA,unw
0,2,firstyear:1996,0.0488,0.0551,0.2144,0.0293,NA,0.0063,NA,unw
0,2,firstyear:1997,0.0415,0.0596,0.2263,0.0802,NA,0.0181,NA,unw
0,2,firstyear:1998,0.0488,0.0511,0.2159,0.0104,NA,0.0023,NA,unw
0,2,firstyear:1999,0.0406,0.0527,0.2208,0.0549,NA,0.0121,NA,unw
0,2,firstyear:2000,0.0341,0.0509,0.2161,0.0776,NA,0.0168,NA,unw
0,2,firstyear:2001,0.0313,0.0536,0.214,0.1039,NA,0.0222,NA,unw
0,2,firstyear:2002,0.0332,0.0426,0.198,0.0475,NA,0.0094,NA,unw
0,2,firstyear:2003,0.0323,0.043,0.1923,0.056,NA,0.0108,NA,unw
0,2,firstyear:2004,0.0166,0.0401,0.1848,0.1273,NA,0.0235,NA,unw
0,2,firstyear:2005,0.0203,0.0359,0.1737,0.0897,NA,0.0156,NA,unw
0,2,firstyear:2006,0.0184,0.03,0.159,0.073,NA,0.0116,NA,unw
0,2,firstyear:2007,0.0083,0.0289,0.1486,0.1387,NA,0.0206,NA,unw
0,2,firstyear:2008,0.0138,0.0233,0.1305,0.0726,NA,0.0095,NA,unw
0,2,firstyear:2009,0.0074,0.0173,0.108,0.0915,NA,0.0099,NA,unw
0,2,firstyear:2010,0,0.0083,0.0742,0.1117,NA,0.0083,NA,unw
0,2,firstyear:2011,9e-04,0.0047,0.0546,0.0694,NA,0.0038,NA,unw
0,2,firstyear:2012,0,9e-04,0.0253,0.0355,NA,9e-04,NA,unw
0,2,Genre_0,9e-04,7e-04,0.0206,0.0121,0.8031,2e-04,1,unw
0,2,Genre_1,0.0442,0.0202,0.1557,0.1545,3e-04,0.0241,0.6927,unw
0,2,Genre_2,0.0488,0.1134,0.2743,0.2354,0,0.0646,0.0014,unw
0,2,Genre_3,0.0129,0.0737,0.175,0.3476,0,0.0608,0.0031,unw
0,2,Genre_4,0.129,0.0762,0.3022,0.1749,0,0.0528,0.0153,unw
0,2,Genre_5,0.0037,0.0011,0.0526,0.0488,0.1785,0.0026,1,unw
0,2,Genre_6,0.0184,0.004,0.096,0.1499,6e-04,0.0144,0.9936,unw
0,2,Genre_7,0.0387,0.1033,0.2337,0.2764,0,0.0646,0.0014,unw
0,2,Genre_8,0.0378,0.1089,0.2316,0.3072,0,0.0711,3e-04,unw
